iter	Logloss
0	0.6769042541
1	0.6630524429
2	0.6513783486
3	0.6409361682
4	0.6325789042
5	0.6252019949
6	0.6182857795
7	0.6123394866
8	0.606949122
9	0.6015151656
10	0.5969255316
11	0.5921527117
12	0.5876121751
13	0.5833153139
14	0.579905411
15	0.57603224
16	0.5726389583
17	0.5691185148
18	0.5657631188
19	0.5625860891
20	0.5599114334
21	0.5570235011
22	0.554132166
23	0.5517634011
24	0.5492487978
25	0.5467936421
26	0.5444379943
27	0.5422263569
28	0.5399160274
29	0.5378642384
30	0.5360428579
31	0.5340509081
32	0.5320824171
33	0.5302472175
34	0.5283784012
35	0.5266367184
36	0.5244232623
37	0.5228096487
38	0.5212581759
39	0.5197010246
40	0.5182954858
41	0.5167120073
42	0.5150838798
43	0.5133862592
44	0.5118599457
45	0.5104234393
46	0.5089302259
47	0.5074967167
48	0.5060594854
49	0.504640131
50	0.5032291317
51	0.5018495614
52	0.5005903795
53	0.4995561281
54	0.4983664531
55	0.4971654177
56	0.4960384535
57	0.4948958436
58	0.4938124371
59	0.4927105741
60	0.4915600925
61	0.4904752509
62	0.4893453663
63	0.4882090271
64	0.4871862247
65	0.4863027092
66	0.4851802557
67	0.4840757358
68	0.4832301094
69	0.4822705592
70	0.4812365044
71	0.4802905778
72	0.4792555174
73	0.4781631919
74	0.477252496
75	0.4764399612
76	0.475692879
77	0.4748316463
78	0.4739724559
79	0.4730758115
80	0.4722512815
81	0.4713746822
82	0.4706268175
83	0.4697838973
84	0.4690936473
85	0.4683206068
86	0.4675172287
87	0.4667718239
88	0.4659550356
89	0.4652166664
90	0.4645851671
91	0.4638481015
92	0.4631604775
93	0.4624040329
94	0.4616874609
95	0.4609751551
96	0.4603380316
97	0.4596583438
98	0.4590076974
99	0.4583659584
100	0.4576473236
101	0.4568735949
102	0.4562383861
103	0.4556069519
104	0.4548816576
105	0.454265008
106	0.4536349894
107	0.452998146
108	0.4522925253
109	0.451698353
110	0.4510348165
111	0.4504420528
112	0.4498027055
113	0.449191947
114	0.4485947073
115	0.447994775
116	0.4472453164
117	0.4466697341
118	0.4460021483
119	0.4454389132
120	0.444835787
121	0.4442839637
122	0.4436378052
123	0.443090653
124	0.4423876031
125	0.4417905649
126	0.4412304408
127	0.4406350849
128	0.4400445539
129	0.4394509752
130	0.438798863
131	0.4382865219
132	0.4377198321
133	0.4371780754
134	0.4366435198
135	0.4361104187
136	0.4355205625
137	0.4349794113
138	0.4343988014
139	0.4338142456
140	0.43331649
141	0.4327338441
142	0.4322401939
143	0.4316244664
144	0.4310574877
145	0.4305568648
146	0.429980458
147	0.4294508549
148	0.428769058
149	0.4282511221
150	0.42775881
151	0.4272804094
152	0.4267927438
153	0.4262431442
154	0.4257671172
155	0.4253355301
156	0.4248332713
157	0.4243528584
158	0.4238735612
159	0.4233802154
160	0.4227940373
161	0.4223047471
162	0.4218026163
163	0.4213606339
164	0.4208838889
165	0.4204269337
166	0.4198415951
167	0.4193656029
168	0.4188729004
169	0.4183730685
170	0.4179265498
171	0.4174778031
172	0.4170551497
173	0.416646054
174	0.4162124252
175	0.4157450891
176	0.4152979755
177	0.4148663988
178	0.4144341313
179	0.414010034
180	0.4135475883
181	0.4130902114
182	0.4126834944
183	0.4122798894
184	0.41189584
185	0.4114870919
186	0.4109182736
187	0.4105523808
188	0.4101546065
189	0.4097403015
190	0.4093135783
191	0.4089091775
192	0.4085197591
193	0.4081416335
194	0.4077963206
195	0.4074054821
196	0.4070381032
197	0.4066631373
198	0.4062828677
199	0.4058477947
200	0.4054747498
201	0.4050481256
202	0.4046692852
203	0.4042918781
204	0.4039031681
205	0.4034897518
206	0.4029499957
207	0.4026117668
208	0.4022067038
209	0.4018259661
210	0.4014603693
211	0.4010841637
212	0.4007277401
213	0.4003843759
214	0.4000318136
215	0.3997184382
216	0.3993598237
217	0.3990091045
218	0.3986698022
219	0.3982851887
220	0.3979036958
221	0.3975304834
222	0.397206253
223	0.3968719263
224	0.3965438244
225	0.3961804121
226	0.3958147827
227	0.3954715953
228	0.3951500416
229	0.3947946678
230	0.3944148413
231	0.3940977947
232	0.3937539985
233	0.3934196519
234	0.3931162914
235	0.3928247265
236	0.3924929399
237	0.3921553916
238	0.3918311913
239	0.3914291959
240	0.3910894073
241	0.3906422303
242	0.3902999316
243	0.3898827082
244	0.3894895865
245	0.3890949111
246	0.3887798273
247	0.3884626252
248	0.3881872729
249	0.3878369701
250	0.3875504531
251	0.3872655632
252	0.3870041791
253	0.3867324301
254	0.3864275589
255	0.3861002231
256	0.3858187532
257	0.3855384952
258	0.3852310971
259	0.3849440871
260	0.384668655
261	0.3844003014
262	0.3841154902
263	0.3838226904
264	0.3835406315
265	0.3832659811
266	0.3829256507
267	0.3826619858
268	0.3823799034
269	0.3820607771
270	0.3817670772
271	0.3814498243
272	0.3811237452
273	0.3808288611
274	0.3805612339
275	0.3803106303
276	0.3800489287
277	0.3797857989
278	0.3795030175
279	0.3792611263
280	0.3789993039
281	0.3787378959
282	0.378486889
283	0.3782283947
284	0.3779824943
285	0.37770207
286	0.3774472539
287	0.3771897771
288	0.3769211863
289	0.3766693615
290	0.376351217
291	0.3760376268
292	0.3757582281
293	0.3755198692
294	0.3752940215
295	0.3749992947
296	0.374743896
297	0.3744637708
298	0.3742206932
299	0.3739783217
300	0.3737256964
301	0.3734833819
302	0.3732187748
303	0.3729446738
304	0.3726447476
305	0.3724326634
306	0.3721780927
307	0.3719066919
308	0.3716608199
309	0.3714367544
310	0.3711422898
311	0.3708983674
312	0.3706628781
313	0.370412744
314	0.3701714261
315	0.3699299755
316	0.3696335337
317	0.369380806
318	0.3691728397
319	0.368941446
320	0.3686882051
321	0.3683836961
322	0.3681657284
323	0.3679172028
324	0.3676609444
325	0.36743442
326	0.367146872
327	0.3668810502
328	0.366671958
329	0.3664288579
330	0.3662013251
331	0.3659899652
332	0.3657533992
333	0.3654380906
334	0.3652143221
335	0.3649852882
336	0.3647528726
337	0.3645053814
338	0.3642468596
339	0.3640227926
340	0.3638064556
341	0.3636032468
342	0.3633740078
343	0.3631734424
344	0.3629662113
345	0.3627490652
346	0.3624954744
347	0.3622947214
348	0.3620583839
349	0.361771124
350	0.3615508459
351	0.3613382187
352	0.361101196
353	0.3608632454
354	0.3606437026
355	0.3604306549
356	0.3601975767
357	0.3599738013
358	0.3597686806
359	0.3595285933
360	0.3592961647
361	0.3590815022
362	0.3588726656
363	0.3586502693
364	0.3584514474
365	0.358193642
366	0.3579664865
367	0.3576727345
368	0.3574693202
369	0.357275856
370	0.3570252176
371	0.3568157422
372	0.3565982965
373	0.3564034302
374	0.3562138941
375	0.3559976518
376	0.3558142713
377	0.3556048801
378	0.3553882858
379	0.3551917994
380	0.3549482407
381	0.3547490524
382	0.3545555577
383	0.3543518861
384	0.3541745855
385	0.3539571305
386	0.3537651479
387	0.3535650296
388	0.3533528874
389	0.3531448565
390	0.3529738128
391	0.3528042544
392	0.3525949291
393	0.3523673476
394	0.3521400474
395	0.3519701304
396	0.3517623816
397	0.3515724578
398	0.3514075186
399	0.3512108246
