iter	Passed	Remaining
0	247	98720
1	530	105591
2	735	97369
3	953	94444
4	1163	91921
5	1377	90467
6	1604	90071
7	1819	89165
8	2029	88158
9	2237	87272
10	2454	86796
11	2659	85987
12	2873	85548
13	3092	85254
14	3308	84930
15	3518	84448
16	3724	83907
17	3936	83548
18	4152	83273
19	4359	82824
20	4561	82330
21	4771	81981
22	4982	81661
23	5190	81314
24	5391	80872
25	5605	80637
26	5809	80259
27	6024	80036
28	6229	79698
29	6442	79454
30	6638	79023
31	6848	78762
32	7055	78462
33	7274	78309
34	7480	78012
35	7691	77771
36	7903	77537
37	8111	77276
38	8319	77010
39	8522	76701
40	8726	76411
41	8947	76269
42	9183	76247
43	9384	75929
44	9596	75704
45	9800	75421
46	10021	75269
47	10223	74970
48	10423	74669
49	10627	74389
50	10835	74150
51	11034	73846
52	11236	73566
53	11449	73359
54	11646	73057
55	11853	72815
56	12056	72552
57	12264	72315
58	12481	72140
59	12688	71903
60	12892	71649
61	13093	71378
62	13306	71181
63	13500	70879
64	13702	70619
65	13908	70387
66	14119	70178
67	14331	69973
68	14543	69767
69	14756	69564
70	14963	69336
71	15166	69092
72	15373	68863
73	15577	68623
74	15792	68434
75	15996	68195
76	16210	67999
77	16417	67773
78	16615	67513
79	16824	67298
80	17033	67083
81	17259	66934
82	17452	66654
83	17657	66426
84	17867	66214
85	18077	66002
86	18288	65797
87	18493	65568
88	18699	65341
89	18903	65113
90	19111	64894
91	19314	64661
92	19515	64423
93	19726	64217
94	19925	63972
95	20125	63731
96	20336	63526
97	20535	63282
98	20740	63059
99	20947	62842
100	21147	62604
101	21355	62390
102	21552	62147
103	21760	61932
104	21972	61731
105	22178	61514
106	22385	61298
107	22592	61082
108	22808	60893
109	23020	60690
110	23224	60467
111	23426	60240
112	23650	60069
113	23859	59858
114	24062	59632
115	24272	59426
116	24474	59198
117	24680	58983
118	24892	58778
119	25102	58573
120	25307	58354
121	25507	58124
122	25710	57901
123	25914	57680
124	26144	57516
125	26338	57276
126	26552	57077
127	26752	56849
128	26953	56622
129	27159	56408
130	27361	56185
131	27567	55970
132	27768	55746
